"ESTU","PROV","date","year_month","sex","age_group","sector_eu","sector_eu_without","education","indep","ideology","identity","income","work_sit_fact"
3191,8,2017-10-02,"2017-10",1,"70-74","Non-tradable sectors",NA,1,NA,5,5,5,"Retired"
3191,8,2017-10-02,"2017-10",2,"18-24","Non-tradable sectors",NA,4,0,NA,1,6,"Currently working"
3191,8,2017-10-02,"2017-10",1,"18-24","Non-tradable sectors",NA,4,NA,3,NA,NA,"Unemployed"
3191,8,2017-10-02,"2017-10",1,"45-49","Import-oriented sectors","Import-oriented sectors",3,NA,NA,3,3,"Unemployed"
3191,8,2017-10-02,"2017-10",2,"65-69","Non-tradable sectors",NA,4,NA,5,5,NA,NA
3191,8,2017-10-02,"2017-10",2,"60-64","Non-tradable sectors",NA,2,0,3,4,7,"Retired"
3191,8,2017-10-02,"2017-10",1,"30-34","Non-tradable sectors",NA,4,NA,3,4,6,"Currently working"
3191,8,2017-10-02,"2017-10",2,"40-44","Non-tradable sectors",NA,4,0,4,3,7,"Currently working"
3191,8,2017-10-02,"2017-10",2,"50-54","Import-oriented sectors","Import-oriented sectors",5,0,3,3,6,"Unemployed"
3191,8,2017-10-02,"2017-10",1,"25-29","Non-tradable sectors",NA,4,NA,2,NA,6,"Currently working"
3191,8,2017-10-02,"2017-10",2,"70-74","Import-oriented sectors","Import-oriented sectors",1,0,3,NA,5,"Retired"
3191,8,2017-10-02,"2017-10",2,"25-29","Non-tradable sectors",NA,4,NA,NA,5,3,"Currently working"
3191,8,2017-10-02,"2017-10",2,"60-64","Non-tradable sectors",NA,4,0,10,3,6,"Retired"
3191,8,2017-10-02,"2017-10",1,"18-24","Import-oriented sectors","Import-oriented sectors",3,0,3,4,7,"Currently working"
3191,8,2017-10-02,"2017-10",1,"35-39","Non-tradable sectors",NA,2,NA,5,3,NA,"Retired"
3191,8,2017-10-02,"2017-10",2,"18-24","Non-tradable sectors",NA,3,0,5,3,NA,NA
3191,8,2017-10-02,"2017-10",1,"80+","Non-tradable sectors",NA,4,NA,NA,3,NA,"Retired"
3191,8,2017-10-02,"2017-10",1,"50-54","Non-tradable sectors",NA,4,0,4,3,5,"Currently working"
3191,8,2017-10-02,"2017-10",2,"70-74","Import-oriented sectors","Import-oriented sectors",1,NA,NA,1,5,"Retired"
3191,8,2017-10-02,"2017-10",1,"70-74","Non-tradable sectors",NA,1,0,NA,2,NA,"Retired"
3191,8,2017-10-02,"2017-10",2,"65-69","Non-tradable sectors",NA,1,0,4,3,6,"Retired"
3191,8,2017-10-02,"2017-10",1,"55-59","Non-tradable sectors",NA,4,NA,NA,2,4,"Retired"
3191,8,2017-10-02,"2017-10",2,"45-49","Non-tradable sectors",NA,NA,NA,NA,2,4,"Unemployed"
3191,8,2017-10-02,"2017-10",1,"45-49","Non-tradable sectors",NA,2,0,3,3,7,"Currently working"
3191,8,2017-10-02,"2017-10",2,"55-59","Non-tradable sectors",NA,5,0,6,1,11,"Currently working"
3191,8,2017-10-02,"2017-10",2,"40-44","Non-tradable sectors",NA,5,NA,3,5,NA,"Currently working"
3191,8,2017-10-02,"2017-10",2,"18-24","Non-tradable sectors",NA,3,1,3,5,NA,"Currently working"
3191,8,2017-10-02,"2017-10",2,"75-79","Non-tradable sectors",NA,2,1,5,5,5,"Retired"
3191,8,2017-10-02,"2017-10",2,"25-29","Non-tradable sectors",NA,2,0,5,3,NA,"Currently working"
3191,8,2017-10-02,"2017-10",2,"45-49","Import-oriented sectors","Import-oriented sectors",5,0,5,1,NA,"Currently working"
