"ESTU","PROV","date","year_month","sex","age_group","sector_eu","sector_eu_without","education","indep","ideology","identity","income","work_sit_fact"
3202,8,2017-12-28,"2017-12",2,"75-79","Import-oriented sectors","Import-oriented sectors",1,NA,2,4,7,"Retired"
3202,8,2017-12-28,"2017-12",1,"45-49","Import-oriented sectors","Import-oriented sectors",2,1,1,4,8,"Retired"
3202,8,2017-12-28,"2017-12",2,"45-49","Export-oriented sectors","Export-oriented sectors",2,NA,5,3,NA,"Unemployed"
3202,8,2017-12-28,"2017-12",2,"55-59","Import-oriented sectors","Import-oriented sectors",1,0,5,3,5,NA
3202,8,2017-12-28,"2017-12",1,"35-39","Import-oriented sectors","Import-oriented sectors",5,1,3,5,10,"Currently working"
3202,8,2017-12-28,"2017-12",2,"25-29","Non-tradable sectors",NA,4,0,5,3,NA,"Currently working"
3202,8,2017-12-28,"2017-12",1,"80+","Non-tradable sectors",NA,NA,0,3,3,6,"Retired"
3202,8,2017-12-28,"2017-12",2,"40-44","Non-tradable sectors",NA,5,1,2,4,10,"Currently working"
3202,8,2017-12-28,"2017-12",2,"60-64","Non-tradable sectors",NA,1,0,4,3,5,"Unemployed"
3202,8,2017-12-28,"2017-12",2,"65-69","Non-tradable sectors",NA,4,0,8,3,7,"Retired"
3202,8,2017-12-28,"2017-12",1,"35-39","Import-oriented sectors","Import-oriented sectors",5,1,1,5,7,"Currently working"
3202,8,2017-12-28,"2017-12",1,"60-64","Non-tradable sectors",NA,5,1,4,4,8,"Retired"
3202,8,2017-12-28,"2017-12",2,"50-54","Non-tradable sectors",NA,5,0,3,3,9,"Currently working"
3202,8,2017-12-28,"2017-12",2,"18-24","Non-tradable sectors",NA,4,1,2,4,6,"Currently working"
3202,8,2017-12-28,"2017-12",1,"18-24","Non-tradable sectors",NA,4,0,2,4,6,"Currently working"
3202,8,2017-12-28,"2017-12",1,"18-24","Export-oriented sectors","Export-oriented sectors",4,0,3,3,8,NA
3202,8,2017-12-28,"2017-12",1,"60-64","Import-oriented sectors","Import-oriented sectors",2,0,5,3,6,"Unemployed"
3202,8,2017-12-28,"2017-12",1,"25-29","Non-tradable sectors",NA,5,1,1,5,NA,"Currently working"
